station,station_name,day,doy,gdd_50_86,highc,lowc,precipmm,narr_srad
IA0200,AMES-8-WSW,2018-01-01,1,0,-21.7,-30,0,10.786741
IA0200,AMES-8-WSW,2018-01-02,2,0,-11.7,-28.3,0,10.628728
IA0200,AMES-8-WSW,2018-01-03,3,0,-7.8,-17.8,0,10.698545
IA0200,AMES-8-WSW,2018-01-04,4,0,-13.9,-21.7,0,6.2670555
IA0200,AMES-8-WSW,2018-01-05,5,0,-13.9,-16.7,0,10.646811
IA0200,AMES-8-WSW,2018-01-06,6,0,-12.2,-23.9,0,9.481637
IA0200,AMES-8-WSW,2018-01-07,7,0,2.8,-12.8,0,8.177259
IA0200,AMES-8-WSW,2018-01-08,8,0,5.6,-7.8,0,10.506891
IA0200,AMES-8-WSW,2018-01-09,9,0,5.6,-1.1,0,9.260436
IA0200,AMES-8-WSW,2018-01-10,10,0,4.4,-0.6,0,10.050485
IA0200,AMES-8-WSW,2018-01-11,11,0,4.4,-13.9,4.3,5.0356326
IA0200,AMES-8-WSW,2018-01-12,12,0,-13.3,-22.2,0,11.222437
IA0200,AMES-8-WSW,2018-01-13,13,0,-12.8,-20,0,10.256352
IA0200,AMES-8-WSW,2018-01-14,14,0,-6.1,-17.2,0,5.881097
IA0200,AMES-8-WSW,2018-01-15,15,0,-5.6,-20,1,7.5717874
IA0200,AMES-8-WSW,2018-01-16,16,0,-15,-22.8,0.8,7.0675287
IA0200,AMES-8-WSW,2018-01-17,17,0,-4.4,-20.6,0,11.507783
IA0200,AMES-8-WSW,2018-01-18,18,0,1.7,-7.8,0,11.248992
IA0200,AMES-8-WSW,2018-01-19,19,0,5.6,-4.4,0,10.489652
IA0200,AMES-8-WSW,2018-01-20,20,0,8.3,-2.8,0,11.246258
IA0200,AMES-8-WSW,2018-01-21,21,0,7.8,1.1,0.3,6.2305427
IA0200,AMES-8-WSW,2018-01-22,22,0,2.8,1.1,25.9,4.911073
IA0200,AMES-8-WSW,2018-01-23,23,0,1.1,-5,1,12.223889
IA0200,AMES-8-WSW,2018-01-24,24,0,-2.8,-5.6,0,11.163132
IA0200,AMES-8-WSW,2018-01-25,25,0,5.6,-6.1,0,12.257394
IA0200,AMES-8-WSW,2018-01-26,26,1,11.1,1.1,0,12.182295
IA0200,AMES-8-WSW,2018-01-27,27,0,9.4,-2.2,0,12.615546
IA0200,AMES-8-WSW,2018-01-28,28,0,5,-7.2,0,11.820684
IA0200,AMES-8-WSW,2018-01-29,29,0,-5.6,-12.2,0,13.145277
IA0200,AMES-8-WSW,2018-01-30,30,0,1.7,-11.7,0,9.996176
IA0200,AMES-8-WSW,2018-01-31,31,0,3.3,-0.6,0,12.169065
IA0200,AMES-8-WSW,2018-02-01,32,0,2.8,-15.6,0,12.985362
IA0200,AMES-8-WSW,2018-02-02,33,0,-6.1,-18.3,0,10.567627
IA0200,AMES-8-WSW,2018-02-03,34,0,3.3,-8.9,0.3,7.0631576
IA0200,AMES-8-WSW,2018-02-04,35,0,2.8,-16.1,0,13.862417
IA0200,AMES-8-WSW,2018-02-05,36,0,-11.7,-18.9,7.6,10.850437
IA0200,AMES-8-WSW,2018-02-06,37,0,-11.7,-23.3,0,11.45349
IA0200,AMES-8-WSW,2018-02-07,38,0,-11.1,-15,0.8,12.924892
IA0200,AMES-8-WSW,2018-02-08,39,0,-7.8,-15.6,1,10.31242
IA0200,AMES-8-WSW,2018-02-09,40,0,-7.8,-13.9,0,11.947248
IA0200,AMES-8-WSW,2018-02-10,41,0,-13.3,-16.1,1,14.786525
IA0200,AMES-8-WSW,2018-02-11,42,0,-8.9,-17.2,0.8,15.907402
IA0200,AMES-8-WSW,2018-02-12,43,0,-9.4,-18.9,0,15.75463
IA0200,AMES-8-WSW,2018-02-13,44,0,0.6,-13.9,0,12.737734
IA0200,AMES-8-WSW,2018-02-14,45,0,5,-7.8,0,14.794369
IA0200,AMES-8-WSW,2018-02-15,46,0,4.4,0.6,0,12.739288
IA0200,AMES-8-WSW,2018-02-16,47,0,1.7,-15,0,16.817987
IA0200,AMES-8-WSW,2018-02-17,48,0,1.7,-7.8,0.8,10.278471
IA0200,AMES-8-WSW,2018-02-18,49,0,8.9,-6.7,0,16.314775
IA0200,AMES-8-WSW,2018-02-19,50,0,7.8,-0.6,1.8,11.066311
IA0200,AMES-8-WSW,2018-02-20,51,0,-0.6,-7.2,6.6,9.728372
IA0200,AMES-8-WSW,2018-02-21,52,0,-6.7,-12.8,0,14.565195
IA0200,AMES-8-WSW,2018-02-22,53,0,-1.1,-6.7,0.5,5.94931
IA0200,AMES-8-WSW,2018-02-23,54,0,0,-5,6.1,16.26309
IA0200,AMES-8-WSW,2018-02-24,55,0,0,-6.7,1.8,7.8066607
IA0200,AMES-8-WSW,2018-02-25,56,0,3.3,-6.7,0.5,16.604717
