year,date,doy,plot_id,mass_gpl
2013,2013-06-02,153,2013_14,0.1175
2013,2013-06-02,153,2013_19,0.0925
2013,2013-06-02,153,2013_27,0.095
2013,2013-06-02,153,2013_29,0.0975
2013,2013-06-02,153,2013_32,0.105
2013,2013-06-02,153,2013_35,0.0925
2013,2013-06-02,153,2013_45,0.105
2013,2013-06-02,153,2013_49,0.1325
2013,2013-06-17,168,2013_14,2.5725
2013,2013-06-17,168,2013_19,1.535
2013,2013-06-17,168,2013_27,1.3175
2013,2013-06-17,168,2013_29,2.925
2013,2013-06-17,168,2013_32,2.64
2013,2013-06-17,168,2013_35,1.505
2013,2013-06-17,168,2013_45,1.4675
2013,2013-06-17,168,2013_49,3.5275
2013,2013-07-04,185,2013_14,32.8725
2013,2013-07-04,185,2013_19,25.065
2013,2013-07-04,185,2013_27,23.155
2013,2013-07-04,185,2013_29,45.1725
2013,2013-07-04,185,2013_32,35.4575
2013,2013-07-04,185,2013_35,20.5
2013,2013-07-04,185,2013_45,20.805
2013,2013-07-04,185,2013_49,42.435
2013,2013-07-24,205,2013_14,122.0775
2013,2013-07-24,205,2013_19,77.0775
2013,2013-07-24,205,2013_27,80.21
2013,2013-07-24,205,2013_29,130.455
2013,2013-07-24,205,2013_32,112.5975
2013,2013-07-24,205,2013_35,72.315
2013,2013-07-24,205,2013_45,79.7575
2013,2013-07-24,205,2013_49,111.63
2013,2013-08-04,216,2013_14,170.875
2013,2013-08-04,216,2013_19,118.125
2013,2013-08-04,216,2013_27,131.875
2013,2013-08-04,216,2013_29,178
2013,2013-08-04,216,2013_32,172
2013,2013-08-04,216,2013_35,140.125
2013,2013-08-04,216,2013_45,130.625
2013,2013-08-04,216,2013_49,158.5
2013,2013-08-31,243,2013_14,211.625
2013,2013-08-31,243,2013_19,207.625
2013,2013-08-31,243,2013_27,186.875
2013,2013-08-31,243,2013_29,208.125
2013,2013-08-31,243,2013_32,209.625
2013,2013-08-31,243,2013_35,166.625
2013,2013-08-31,243,2013_45,208
2013,2013-08-31,243,2013_49,261.25
2013,2013-10-08,281,2013_14,212.375
2013,2013-10-08,281,2013_19,190.375
2013,2013-10-08,281,2013_27,203
2013,2013-10-08,281,2013_29,287.125
2013,2013-10-08,281,2013_32,253.75
2013,2013-10-08,281,2013_35,218.75
2013,2013-10-08,281,2013_45,188.875
2013,2013-10-08,281,2013_49,300.5
2014,2014-05-20,140,2014_13,0.0525
2014,2014-05-20,140,2014_24,0.06
2014,2014-05-20,140,2014_34,0.05
2014,2014-05-20,140,2014_44,0.055
2014,2014-05-20,140,2014_18,0.045
2014,2014-05-20,140,2014_28,0.06
2014,2014-05-20,140,2014_37,0.0375
2014,2014-05-20,140,2014_46,0.0425
2014,2014-05-30,150,2014_13,0.7725
2014,2014-05-30,150,2014_24,0.945
2014,2014-05-30,150,2014_34,0.6175
2014,2014-05-30,150,2014_44,1.0375
2014,2014-05-30,150,2014_18,0.8725
2014,2014-05-30,150,2014_28,1.135
2014,2014-05-30,150,2014_37,0.7675
2014,2014-05-30,150,2014_46,1.065
2014,2014-06-18,169,2014_13,20.2
2014,2014-06-18,169,2014_24,16.25
2014,2014-06-18,169,2014_34,17
2014,2014-06-18,169,2014_44,19.575
2014,2014-06-18,169,2014_18,17.925
2014,2014-06-18,169,2014_28,24.825
2014,2014-06-18,169,2014_37,18.925
2014,2014-06-18,169,2014_46,18.55
2014,2014-06-26,177,2014_13,48.05
2014,2014-06-26,177,2014_24,54.375
2014,2014-06-26,177,2014_34,51.45
2014,2014-06-26,177,2014_44,52.025
