samp_date,year,doy,plot_id,depth_cm,samp_id_short
2019-11-07,2019,311,2019_12,0-15,mai_01
2019-11-07,2019,311,2019_12,15-30,mai_02
2019-11-07,2019,311,2019_12,30-60,mai_03
2019-11-07,2019,311,2019_12,60-90,mai_04
2019-11-07,2019,311,2019_12,90-120,mai_05
2019-11-07,2019,311,2019_12,120-150,mai_06
2019-11-07,2019,311,2019_12,150-180,mai_07
2019-11-07,2019,311,2019_12,180-210,mai_08
2019-11-07,2019,311,2019_12,210-?,mai_09
2019-08-01,2019,213,2019_14,0-15,oat_1
2019-08-01,2019,213,2019_14,15-30,oat_2
2019-08-01,2019,213,2019_14,30-60,oat_3
2019-08-01,2019,213,2019_14,60-90,oat_4
2019-08-01,2019,213,2019_14,90-120,oat_5
2019-08-01,2019,213,2019_14,120-150,oat_6
2019-08-01,2019,213,2019_14,150-180,oat_7
2019-08-01,2019,213,2019_14,180-210,oat_8
2019-08-01,2019,213,2019_14,210-?,oat_9
2019-06-17,2019,168,2019_17,0-15,alf_28
2019-06-17,2019,168,2019_17,15-30,alf_29
2019-06-17,2019,168,2019_17,30-60,alf_30
2019-06-17,2019,168,2019_17,60-90,alf_31
2019-06-17,2019,168,2019_17,90-120,alf_32
2019-06-17,2019,168,2019_17,120-150,alf_33
2019-06-17,2019,168,2019_17,150-180,alf_34
2019-06-17,2019,168,2019_17,180-210,alf_35
2019-06-17,2019,168,2019_17,210-?,alf_36
2019-07-23,2019,204,2019_17,0-15,alf_1
2019-07-23,2019,204,2019_17,15-30,alf_2
2019-07-23,2019,204,2019_17,30-60,alf_3
2019-07-23,2019,204,2019_17,60-90,alf_4
2019-07-23,2019,204,2019_17,90-120,alf_5
2019-07-23,2019,204,2019_17,120-150,alf_6
2019-07-23,2019,204,2019_17,150-180,alf_7
2019-07-23,2019,204,2019_17,180-210,alf_8
2019-07-23,2019,204,2019_17,210-?,alf_9
2019-09-04,2019,247,2019_17,0-15,alf_82
2019-09-04,2019,247,2019_17,15-30,alf_83
2019-09-04,2019,247,2019_17,30-60,alf_84
2019-09-04,2019,247,2019_17,60-90,alf_85
2019-09-04,2019,247,2019_17,90-120,alf_86
2019-09-04,2019,247,2019_17,120-150,alf_87
2019-09-04,2019,247,2019_17,150-180,alf_88
2019-09-04,2019,247,2019_17,180-210,alf_89
2019-09-04,2019,247,2019_17,210-?,alf_90
2019-11-08,2019,312,2019_17,0-15,alf_55
2019-11-08,2019,312,2019_17,15-30,alf_56
2019-11-08,2019,312,2019_17,30-60,alf_57
2019-11-08,2019,312,2019_17,60-90,alf_58
2019-11-08,2019,312,2019_17,90-120,alf_59
2019-11-08,2019,312,2019_17,120-150,alf_60
2019-11-08,2019,312,2019_17,150-180,alf_61
2019-11-08,2019,312,2019_17,180-210,alf_62
2019-11-08,2019,312,2019_17,210-?,alf_63
2019-11-07,2019,311,2019_19,0-15,mai_10
2019-11-07,2019,311,2019_19,15-30,mai_11
2019-11-07,2019,311,2019_19,30-60,mai_12
2019-11-07,2019,311,2019_19,60-90,mai_13
2019-11-07,2019,311,2019_19,90-120,mai_14
2019-11-07,2019,311,2019_19,120-150,mai_15
2019-11-07,2019,311,2019_19,150-180,mai_16
2019-11-07,2019,311,2019_19,180-210,mai_17
2019-11-07,2019,311,2019_19,210-?,mai_18
2019-11-07,2019,311,2019_21,0-15,mai_19
2019-11-07,2019,311,2019_21,15-30,mai_20
2019-11-07,2019,311,2019_21,30-60,mai_21
2019-11-07,2019,311,2019_21,60-90,mai_22
2019-11-07,2019,311,2019_21,90-120,mai_23
2019-11-07,2019,311,2019_21,120-150,mai_24
2019-11-07,2019,311,2019_21,150-180,mai_25
2019-11-07,2019,311,2019_21,180-210,mai_26
2019-11-07,2019,311,2019_21,210-?,mai_27
2019-06-17,2019,168,2019_22,0-15,alf_37
2019-06-17,2019,168,2019_22,15-30,alf_38
2019-06-17,2019,168,2019_22,30-60,alf_39
2019-06-17,2019,168,2019_22,60-90,alf_40
2019-06-17,2019,168,2019_22,90-120,alf_41
2019-06-17,2019,168,2019_22,120-150,alf_42
2019-06-17,2019,168,2019_22,150-180,alf_43
2019-06-17,2019,168,2019_22,180-210,alf_44
2019-06-17,2019,168,2019_22,210-?,alf_45
2019-07-23,2019,204,2019_22,0-15,alf_10
2019-07-23,2019,204,2019_22,15-30,alf_11
2019-07-23,2019,204,2019_22,30-60,alf_12
2019-07-23,2019,204,2019_22,60-90,alf_13
2019-07-23,2019,204,2019_22,90-120,alf_14
2019-07-23,2019,204,2019_22,120-150,alf_15
2019-07-23,2019,204,2019_22,150-180,alf_16
2019-07-23,2019,204,2019_22,180-210,alf_17
2019-07-23,2019,204,2019_22,210-?,alf_18
2019-09-04,2019,247,2019_22,0-15,alf_91
2019-09-04,2019,247,2019_22,15-30,alf_92
2019-09-04,2019,247,2019_22,30-60,alf_93
2019-09-04,2019,247,2019_22,60-90,alf_94
2019-09-04,2019,247,2019_22,90-120,alf_95
2019-09-04,2019,247,2019_22,120-150,alf_96
2019-09-04,2019,247,2019_22,150-180,alf_97
2019-09-04,2019,247,2019_22,180-210,alf_98
2019-09-04,2019,247,2019_22,210-?,alf_99
2019-11-08,2019,312,2019_22,0-15,alf_64
2019-11-08,2019,312,2019_22,15-30,alf_65
2019-11-08,2019,312,2019_22,30-60,alf_66
2019-11-08,2019,312,2019_22,60-90,alf_67
2019-11-08,2019,312,2019_22,90-120,alf_68
2019-11-08,2019,312,2019_22,120-150,alf_69
2019-11-08,2019,312,2019_22,150-180,alf_70
2019-11-08,2019,312,2019_22,180-210,alf_71
2019-11-08,2019,312,2019_22,210-?,alf_72
2019-11-07,2019,311,2019_27,0-15,mai_28
2019-11-07,2019,311,2019_27,15-30,mai_29
2019-11-07,2019,311,2019_27,30-60,mai_30
2019-11-07,2019,311,2019_27,60-90,mai_31
2019-11-07,2019,311,2019_27,90-120,mai_32
2019-11-07,2019,311,2019_27,120-150,mai_33
2019-11-07,2019,311,2019_27,150-180,mai_34
2019-11-07,2019,311,2019_27,180-210,mai_35
