ID,block,system,depth,crop,date,wtPOMC,wtPOMN,pctTotalAg,PMN,FDA,whole_soil_N,whole_soil_C,SOM_vol,bulk_density,lengthpcm3soil,AvgDiam,rootpctC,root_CdN,sand,silt,clay,WFPS
1,1,3,0,C,1,.,.,63.49,.,.,0.29,3.71,.,.,.,.,.,.,35,41,24,.
3,1,4,0,S,1,.,.,66.73,.,.,0.23,2.8675,.,.,.,.,.,.,34,38,28,.
5,1,2,0,C,1,.,.,60.62,.,.,0.22,2.7295,.,.,.,.,.,.,37,35,28,.
7,1,4,0,A,1,.,.,63.58,.,.,0.2,2.612,.,.,.,.,.,.,40,35,25,.
9,1,3,0,O,1,.,.,67.52,.,.,0.24,3.074,.,.,.,.,.,.,39,36,25,.
11,1,3,0,S,1,.,.,73.7,.,.,0.23,2.9628,.,.,.,.,.,.,38,35,27,.
13,1,4,0,C,1,.,.,63.2,.,.,0.2,2.6242,.,.,.,.,.,.,40,34,26,.
15,1,4,0,O,1,.,.,64.17,.,.,0.19,.,.,.,.,.,.,.,39,38,23,.
17,1,2,0,S,1,.,.,75.02,.,.,0.23,3.1278,.,.,.,.,.,.,31,43,26,.
19,2,4,0,S,1,.,.,68.41,.,.,0.18,2.4624,.,.,.,.,.,.,39,38,23,.
21,2,4,0,C,1,.,.,59.74,.,.,0.18,2.1866,.,.,.,.,.,.,38,38,24,.
23,2,3,0,C,1,.,.,61.64,.,.,0.17,2.2394,.,.,.,.,.,.,46,32,22,.
25,2,2,0,C,1,.,.,72.97,.,.,0.17,2.2356,.,.,.,.,.,.,33,46,21,.
27,2,3,0,S,1,.,.,68.65,.,.,0.18,2.3762,.,.,.,.,.,.,30,44,26,.
29,2,3,0,O,1,.,.,77.2,.,.,0.21,2.84,.,.,.,.,.,.,32,44,24,.
31,2,2,0,S,1,.,.,70.79,.,.,0.26,3.5644,.,.,.,.,.,.,32,42,26,.
33,2,4,0,O,1,.,.,75.16,.,.,0.25,3.3836,.,.,.,.,.,.,33,41,26,.
35,2,4,0,A,1,.,.,82.71,.,.,0.29,3.601,.,.,.,.,.,.,28,45,27,.
37,3,4,0,S,1,.,.,67.03,.,.,0.29,3.5904,.,.,.,.,.,.,30,39,31,.
39,3,4,0,A,1,.,.,67.74,.,.,0.27,3.7362,.,.,.,.,.,.,32,39,29,.
41,3,3,0,S,1,.,.,74.41,.,.,0.29,3.552,.,.,.,.,.,.,29,43,28,.
43,3,2,0,C,1,.,.,72.46,.,.,0.24,3.0018,.,.,.,.,.,.,36,38,26,.
45,3,2,0,S,1,.,.,70.72,.,.,0.22,2.6532,.,.,.,.,.,.,46,35,19,.
47,3,3,0,O,1,.,.,62.82,.,.,0.2,2.4054,.,.,.,.,.,.,45,33,22,.
49,3,4,0,O,1,.,.,71.29,.,.,0.18,2.1,.,.,.,.,.,.,45,33,22,.
51,3,3,0,C,1,.,.,78.79,.,.,0.2,2.3794,.,.,.,.,.,.,44,36,20,.
53,3,4,0,C,1,.,.,63.26,.,.,0.2,2.4302,.,.,.,.,.,.,36,40,24,.
55,4,4,0,C,1,.,.,70.06,.,.,0.25,2.999,.,.,.,.,.,.,38,36,26,.
57,4,3,0,S,1,.,.,73.99,.,.,0.29,3.5332,.,.,.,.,.,.,38,34,28,.
59,4,4,0,S,1,.,.,77.59,.,.,0.3,3.566,.,.,.,.,.,.,30,40,30,.
61,4,2,0,C,1,.,.,75.22,.,.,0.29,3.4694,.,.,.,.,.,.,30,41,29,.
63,4,2,0,S,1,.,.,70.83,.,.,0.27,3.1976,.,.,.,.,.,.,42,31,27,.
65,4,4,0,O,1,.,.,78.12,.,.,0.25,2.9972,.,.,.,.,.,.,33,38,29,.
67,4,3,0,O,1,.,.,75.48,.,.,0.32,3.66005,.,.,.,.,.,.,29,39,32,.
69,4,3,0,C,1,.,.,80.17,.,.,0.37,5.00925,.,.,.,.,.,.,21,47,32,.
71,4,4,0,A,1,.,.,84.24,.,.,0.39,5.00345,.,.,.,.,.,.,22,43,35,.
1,1,3,0,S,2,2.691952273,0.19782742,63.88,34.6299,0.590806962,0.22,2.83,.,0.89,.,.,.,.,35,41,24,38.94205114
3,1,4,0,O,2,2.628540772,0.2232307,64.01,50.933,1.083147622,0.23,2.8175,.,1.06,.,.,.,.,34,38,28,50.22633333
5,1,2,0,S,2,2.646647016,0.2168418,69.59,48.0879,1.065622562,0.25,3.1195,.,1.19,.,.,.,.,37,35,28,59.2037226
7,1,4,0,C,2,2.058120042,0.161888,67.23,30.02,0.737993663,0.21,2.542,.,1,.,.,.,.,40,35,25,33.27757576
9,1,3,0,C,2,2.83088875,0.1935473,43.81,42.6317,0.998736164,0.22,2.684,.,1.03,.,.,.,.,39,36,25,35.18022222
11,1,3,0,O,2,2.886048697,0.24350274,50.36,51.5385,1.13448671,0.21,2.7028,.,1.17,.,.,.,.,38,35,27,37.2897973
13,1,4,0,S,2,2.290008,0.18320064,57.42,34.4176,1.000887882,0.2,2.6042,.,1.12,.,.,.,.,40,34,26,29.97098039
15,1,4,0,A,2,2.029271666,0.1799776,56.36,34.441,0.660714922,.,.,.,1.1,.,.,.,.,39,38,23,36.46570968
17,1,2,0,C,2,3.280987995,0.28070604,64.84,65.5758,1.286031786,0.22,2.9078,.,1.02,.,.,.,.,31,43,26,44.12688957
19,2,4,0,O,2,2.416483062,0.14789232,64.34,44.268,0.672037033,0.17,2.1224,.,1.24,.,.,.,.,39,38,23,52.15651064
21,2,4,0,S,2,2.002429636,0.1614704,59.68,20.9768,0.483709001,0.17,2.0666,.,1.04,.,.,.,.,38,38,24,41.03187578
23,2,3,0,S,2,1.765760757,0.16617993,29.54,30.7377,0.786825294,0.14,1.6494,.,1.19,.,.,.,.,46,32,22,45.42335959
25,2,2,0,S,2,2.85608588,0.19697144,61.59,42.1388,1.025457564,0.2,2.5856,.,1.22,.,.,.,.,33,46,21,55.93316084
27,2,3,0,O,2,2.41547364,0.19853208,56.42,37.5677,0.867745648,0.2,2.6862,.,1.07,.,.,.,.,30,44,26,35.28223418
29,2,3,0,C,2,3.10351788,0.20022696,58.77,37.3537,0.870908755,0.2,2.7,.,1.07,.,.,.,.,32,44,24,36.52052215
31,2,2,0,C,2,2.8734849,0.2077218,73.47,28.853,1.661665761,.,.,.,1.1,.,.,.,.,32,42,26,43.53693548
33,2,4,0,A,2,2.152051,0.1735525,69.5,47.773,0.99288052,0.28,3.5836,.,1.1,.,.,.,.,33,41,26,41.16732258
35,2,4,0,C,2,2.21965175,0.2089084,77.41,24.9975,0.817096522,0.29,3.631,.,1.01,.,.,.,.,28,45,27,37.51996037
37,3,4,0,O,2,2.94553115,0.217598049,67.47,66.6101,1.152835991,0.25,3.1904,.,1.03,.,.,.,.,30,39,31,44.31225309
39,3,4,0,C,2,4.315104176,0.336857876,71.7,56.0752,1.394022251,0.26,2.8862,.,1.01,.,.,.,.,32,39,29,39.96797866
41,3,3,0,O,2,3.668227833,0.25183794,70.52,71.502,.,0.26,3.352,.,1.02,.,.,.,.,29,43,28,42.51835583
43,3,2,0,S,2,3.736096082,0.245446967,62.26,54.4355,2.44568841,0.24,3.2018,.,1.03,.,.,.,.,36,38,26,46.58683642
45,3,2,0,C,2,2.728443075,0.210160468,63.39,54.7767,1.153798474,0.19,2.3632,.,1.21,.,.,.,.,46,35,19,49.2999375
47,3,3,0,C,2,3.133810723,0.232459494,58.89,58.4888,1.469949238,0.17,2.2354,.,1.13,.,.,.,.,45,33,22,34.0624375
49,3,4,0,A,2,1.782270931,0.150639164,65.24,12.7762,0.909833913,0.17,2.25,.,1.27,.,.,.,.,45,33,22,36.67907246
51,3,3,0,S,2,1.893967792,0.147155407,49.51,19.6524,0.797173824,0.18,2.2894,.,1.03,.,.,.,.,44,36,20,41.16153395
53,3,4,0,S,2,1.812006908,0.122633207,73.29,21.0028,0.909268331,0.2,2.6402,.,0.91,.,.,.,.,36,40,24,37.84946264
55,4,4,0,S,2,2.333279606,0.183119303,62.65,41.0696,0.904181418,0.21,2.739,.,1.04,.,.,.,.,38,36,26,44.11311801
57,4,3,0,O,2,2.915348046,0.240423729,67.03,52.5708,1.001896284,0.23,2.9932,.,1.02,.,.,.,.,38,34,28,44.16005521
59,4,4,0,O,2,3.849723762,0.28902642,73.53,40.2336,1.161862917,0.26,3.256,.,0.99,.,.,.,.,30,40,30,50.11517169
61,4,2,0,S,2,2.385614191,0.194629921,78.16,57.1956,0.915760404,0.34,4.2394,.,0.84,.,.,.,.,30,41,29,36.88272928
63,4,2,0,C,2,4.614254342,0.322763018,63.85,32.6592,1.025858897,0.21,2.5776,.,1.08,.,.,.,.,42,31,27,44.91699363
65,4,4,0,A,2,3.824768295,0.300526689,80.96,70.6888,1.10012141,0.25,3.1272,.,1.04,.,.,.,.,33,38,29,40.19309317
67,4,3,0,C,2,3.069650831,0.308889293,75.87,60.4448,0.871524753,.,.,.,1.04,.,.,.,.,29,39,32,41.32288199
69,4,3,0,S,2,2.835200344,0.226601336,79.52,47.783,0.640965557,0.37,5.074,.,0.71,.,.,.,.,21,47,32,33.47906186
71,4,4,0,C,2,2.743852763,0.235135267,81.96,55.5828,0.637570362,0.34,4.0502,.,0.91,.,.,.,.,22,43,35,38.20980172
1,1,3,0,S,3,2.70698511,0.17051328,73.94,45.7128,0.879380372,0.22,2.83,.,0.84,2.42,0.23,42.21,15.75,35,41,24,23.55132597
3,1,4,0,O,3,2.054890343,0.1788528,73.61,40.8,0.810692335,0.23,2.8175,.,0.8,4.9,0.22,39.7,35.01,34,38,28,27.11308108
5,1,2,0,S,3,1.845046759,0.1250304,67.33,57.156,0.934267713,0.25,3.1195,.,0.88,3.17,0.24,41.84,15.74,37,35,28,25.95502825
7,1,4,0,C,3,1.999091496,0.15129464,67.4,48.2761,0.780794112,0.21,2.542,.,1.03,3.59,0.2,39.26,18.15,40,35,25,31.50719136
9,1,3,0,C,3,3.061796332,0.2010855,67.69,60.5955,0.810445894,0.22,2.684,.,1.05,2.52,0.2,38.87,20.5,39,36,25,34.90298438
11,1,3,0,O,3,2.155007704,0.1536803,66.76,47.6256,1.116298898,0.21,2.7028,.,0.82,5.38,0.2,38.52,25.28,38,35,27,26.47972678
