sample_id,year,site,rot,block,plot,depth_cm,length_cm,core_no,freshmass.lessthan8mm_g,freshmass.morethan8mm_g,note,elevation_m,pH,totC_prct,totCinorg_prct,assumedtotCinorg_prct,SOCfinal_prct,Ntotfinal_prct,CN_ratio,sand_prct,silt_prct,clay_prct,moisture_g.g,drywt_g,dia_cm,vol_cm3,voladj_cm3,bulkden_g.cm3,soilmass_Mg.ha,soilN_MgN.ha,soilC_MgN.ha,
31,2014,mars,2,1,13,0-15,15,37-42,1801.83,3.6,,336.2661,5.52,2.323,5.276,0,2.261,0.219,10.3,40.16,32.91,26.93,0.274,1414.3,4.10,1187.6,1186.3,1.19,1788,3.9,40.4,
32,2014,mars,2,1,13,15-30,15,37-42,1900.57,0.0,,336.2661,5.57,1.757,-4.722,0,1.799,0.165,10.9,39.51,33.84,26.65,0.263,1504.8,4.10,1187.6,1187.6,1.27,1901,3.1,34.2,
33,2014,mars,2,1,13,30-60,30,37-42,4049.8,21.2,,336.2661,6.72,1.251,31.258,31.3,0.859,0.103,8.3,42.13,32.67,25.20,0.223,3311.4,4.10,2375.3,2367.3,1.40,4196,4.3,36.0,
34,2014,mars,2,1,13,60-90,30,37-42,4616.78,75.3,,336.2661,7.14,2.355,88.11,88.1,0.280,0.044,6.4,45.43,33.62,20.95,0.177,3922.5,4.10,2375.3,2346.9,1.67,5014,2.2,14.0,
35,2014,mars,2,1,13,90-100,10,37-42,1596.59,16.5,1 core 7 cm,336.2661,6.42,2.407,93.353,93.4,0.159,0.018,8.8,47.57,33.91,18.52,0.160,1376.4,4.10,752.2,746.0,1.85,1845,0.3,2.9,
36,2014,mars,4,1,18,0-15,15,45-50,1745.53,1.9,,335.7145,5.65,1.991,0.048,0,1.990,0.172,11.6,42.67,32.67,24.67,0.239,1408.8,4.10,1187.6,1186.9,1.19,1780,3.1,35.4,
37,2014,mars,4,1,18,15-30,15,45-50,1802.79,0.9,,335.7145,5.63,2.003,23.602,0,1.766,0.188,9.4,41.48,32.56,25.97,0.253,1438.8,4.10,1187.6,1187.3,1.21,1818,3.4,32.1,
38,2014,mars,4,1,18,30-60,30,45-50,4121.38,57.8,,335.7145,5.75,0.932,8.759,0,0.891,0.094,9.5,42.48,30.36,27.16,0.235,3337.1,4.10,2375.3,2353.4,1.42,4254,4.0,37.9,
39,2014,mars,4,1,18,60-90,30,45-50,4865.71,96.4,,335.7145,6.5,1.625,83.384,83.4,0.270,0.054,5.0,51.80,28.57,19.63,0.180,4123.5,4.10,2375.3,2338.9,1.76,5289,2.9,14.3,
40,2014,mars,4,1,18,90-100,10,45-50,1558.86,38.6,1 core 7 cm,335.7145,6.81,1.381,91.311,91.3,0.120,0.026,4.6,55.67,29.47,14.87,0.168,1334.6,4.10,752.2,737.6,1.81,1809,0.5,2.2,
41,2014,mars,2,2,24,0-15,15,53-58,1695.28,0.0,,334.3973,5.04,2.374,2.283,0,2.347,0.220,10.7,33.47,31.33,35.20,0.241,1366.1,4.10,1187.6,1187.6,1.15,1725,3.8,40.5,
42,2014,mars,2,2,24,15-30,15,53-58,1867.51,5.0,,334.3973,5.31,1.652,-6.518,0,1.706,0.151,11.3,32.27,35.40,32.33,0.266,1475.1,4.10,1187.6,1185.7,1.24,1866,2.8,31.8,
43,2014,mars,2,2,24,30-60,30,53-58,4012.14,27.8,,334.3973,5.42,1.186,-1.219,0,1.193,0.111,10.7,37.69,32.49,29.82,0.258,3189.3,4.10,2375.3,2364.8,1.35,4046,4.5,48.3,
44,2014,mars,2,2,24,60-90,30,53-58,4664.28,61.9,,334.3973,6.33,1.155,71.433,71.4,0.330,0.058,5.7,47.14,28.10,24.77,0.206,3867.6,4.10,2375.3,2351.9,1.64,4933,2.9,16.3,
45,2014,mars,2,2,24,90-100,10,53-58,1513.39,19.3,2 cores 7 cm,334.3973,6.88,1.974,88.351,88.4,0.229,0.026,8.8,45.13,29.87,25.00,0.183,1279.3,4.10,712.6,705.3,1.81,1814,0.5,4.2,
46,2014,mars,4,2,28,0-15,15,61-66,1693.26,1.2,,333.345,5.61,3.291,-6.054,0,3.390,0.295,11.5,30.19,36.84,32.98,0.314,1288.6,4.10,1187.6,1187.2,1.09,1628,4.8,55.2,
47,2014,mars,4,2,28,15-30,15,61-66,1749.91,2.6,,333.345,5.62,2.552,-1.109,0,2.566,0.225,11.4,28.13,36.27,35.60,0.300,1346.1,4.10,1187.6,1186.6,1.13,1702,3.8,43.7,
48,2014,mars,4,2,28,30-60,30,61-66,3795.57,27.1,,333.345,5.7,1.211,2.523,0,1.195,0.113,10.6,33.64,34.64,31.71,0.251,3034.0,4.10,2375.3,2365.0,1.28,3849,4.3,46.0,
49,2014,mars,4,2,28,60-90,30,61-66,4385.26,61.4,,333.345,6.15,0.93,47.328,47.3,0.490,0.061,8.0,44.44,29.91,25.65,0.223,3585.7,4.10,2375.3,2352.1,1.52,4573,2.8,22.4,
50,2014,mars,4,2,28,90-100,10,61-66,1336.44,9.8,,333.345,6.75,1.506,80.079,80.1,0.300,0.035,8.6,49.50,29.11,21.39,0.196,1117.4,4.10,791.8,788.0,1.42,1418,0.5,4.3,
51,2014,mars,2,3,34,0-15,15,69-74,1684.78,0.0,,335.7098,6.25,2.955,-5.789,0,3.077,0.258,11.9,33.27,26.28,40.45,0.207,1395.8,4.10,1187.6,1187.6,1.18,1763,4.5,54.2,
52,2014,mars,2,3,34,15-30,15,69-74,1904.08,0.0,,335.7098,5.89,2.631,12.248,0,2.410,0.271,8.9,31.31,26.84,41.86,0.191,1598.7,4.10,1187.6,1187.6,1.35,2019,5.5,48.7,
53,2014,mars,2,3,34,30-60,30,69-74,3955.87,16.1,,335.7098,5.94,1.169,-2.571,0,1.185,0.095,12.5,31.00,18.73,50.27,0.225,3229.3,4.10,2375.3,2369.2,1.36,4089,3.9,48.5,
54,2014,mars,2,3,34,60-90,30,69-74,4202.52,73.2,,335.7098,6.46,0.483,-3.256,0,0.501,0.037,13.5,35.40,21.76,42.85,0.209,3476.0,4.10,2375.3,2347.6,1.48,4442,1.6,22.3,
55,2014,mars,2,3,34,90-100,10,69-74,1431.22,11.4,1 core 9 cm,335.7098,6.53,0.424,15.112,15.1,0.360,0.041,8.8,35.09,27.43,37.48,0.223,1170.3,4.10,778.6,774.3,1.51,1511,0.6,5.4,
56,2014,mars,4,3,37,0-15,15,77-82,1669.3,0.0,,335.6308,6.31,1.989,-6.4,0,2.074,0.180,11.5,43.71,17.30,38.99,0.234,1352.8,4.10,1187.6,1187.6,1.14,1709,3.1,35.4,
57,2014,mars,4,3,37,15-30,15,77-82,1737.85,0.0,,335.6308,5.85,2.068,2.234,0,2.044,0.171,12.0,45.64,21.59,32.78,0.245,1395.9,4.10,1187.6,1187.6,1.18,1763,3.0,36.0,
58,2014,mars,4,3,37,30-60,30,77-82,4016.52,29.3,,335.6308,5.69,1.226,2.003,0,1.203,0.114,10.6,50.47,14.87,34.67,0.234,3254.9,4.10,2375.3,2364.2,1.38,4130,4.7,49.7,
