2020 Marsden Corn Yields,,,,,,,,,,,,
Corn was harvested on 10/2/2020 with a John Deere 9450 plot combine and 4 row head.  Weights and moisture values were obtained from the combine.,,,,,,,,,,,,
The middle 12 rows of each plot were used for data collection.,,,,,,,,,,,,
"Derecho hit, see drone pics for sense of damage",,,,,,,,,,,,
,,,,,,,,,,,,
plot,rot,trt,harvwt_lbs,mois_pct,harvstriplen_ft,harvstripwidth_ft,harvstriparea_ac,harvstriparea_ha,yield_lbac,yield_lbac155,yield_buac155,yield_Mgha155
11,C3,CONV,1192,14.8,275,15,0.0947,0.0384,10724.6,12691.8,226.6,14.21
11,C3,LOW,1086,15,275,15,0.0947,0.0384,9747.9,11536.0,206.0,12.92
13,C2,CONV,1021,14.6,275,15,0.0947,0.0384,9207.6,10896.6,194.6,12.20
13,C2,LOW,1020,14.4,275,15,0.0947,0.0384,9220.1,10911.4,194.8,12.22
17,C4,CONV,1061,14.7,275,15,0.0947,0.0384,9557.1,11310.2,202.0,12.67
17,C4,LOW,1128,14.9,275,15,0.0947,0.0384,10136.8,11996.3,214.2,13.44
22,C4,CONV,1159,14.5,275,15,0.0947,0.0384,10464.4,12383.9,221.1,13.87
22,C4,LOW,1148,14.7,275,15,0.0947,0.0384,10340.8,12237.7,218.5,13.71
23,C3,CONV,1123,14.7,275,15,0.0947,0.0384,10115.6,11971.2,213.8,13.41
23,C3,LOW,1067,14.7,275,15,0.0947,0.0384,9611.2,11374.2,203.1,12.74
24,C2,CONV,1065,14.4,275,15,0.0947,0.0384,9626.9,11392.8,203.4,12.76
24,C2,LOW,1069,14.5,275,15,0.0947,0.0384,9651.8,11422.2,204.0,12.79
34,C2,CONV,980.5,14.9,275,15,0.0947,0.0384,8811.3,10427.6,186.2,11.68
34,C2,LOW,1032,15.4,275,15,0.0947,0.0384,9219.6,10910.8,194.8,12.22
38,C3,CONV,1112,14.9,275,15,0.0947,0.0384,9993.1,11826.1,211.2,13.25
38,C3,LOW,1087,15.2,275,15,0.0947,0.0384,9734.0,11519.5,205.7,12.90
39,C4,CONV,1049,14.8,275,15,0.0947,0.0384,9438.0,11169.2,199.5,12.51
39,C4,LOW,1068,15,275,15,0.0947,0.0384,9586.4,11344.8,202.6,12.71
41,C4,CONV,1020,14.6,275,15,0.0947,0.0384,9198.6,10885.9,194.4,12.19
41,C4,LOW,1071,14.7,275,15,0.0947,0.0384,9647.2,11416.8,203.9,12.79
44,C2,CONV,1103,14.7,275,15,0.0947,0.0384,9935.5,11758.0,210.0,13.17
44,C2,LOW,1020,14.9,275,15,0.0947,0.0384,9166.3,10847.7,193.7,12.15
48,C3,CONV,1081,17,275,15,0.0947,0.0384,9474.7,11212.7,200.2,12.56
48,C3,LOW,1103,17,275,15,0.0947,0.0384,9667.6,11440.9,204.3,12.81
