From Matt Liebman Jan 2018,,,,
C2 managed with conventional herbicide regime,,,,
C3 and C4 with low herbicide regime,,,,
yields reported at 15.5% moisure,,,,
year,trt,block,bu_ac,Mg_ha
2003,C2,1,189,11.85219
2003,C2,2,183,11.47593
2003,C2,3,202,12.66742
2003,C2,4,191,11.97761
2003,C3,1,199,12.47929
2003,C3,2,186,11.66406
2003,C3,3,191,11.97761
2003,C3,4,175,10.97425
2003,C4,1,190,11.9149
2003,C4,2,184,11.53864
2003,C4,3,175,10.97425
2003,C4,4,185,11.60135
2004,C2,1,205,12.85555
2004,C2,2,216,13.54536
2004,C2,3,188,11.78948
2004,C2,4,209,13.10639
2004,C3,1,220,13.7962
2004,C3,2,209,13.10639
2004,C3,3,187,11.72677
2004,C3,4,204,12.79284
2004,C4,1,223,13.98433
2004,C4,2,228,14.29788
2004,C4,3,219,13.73349
2004,C4,4,175,10.97425
2005,C2,1,202,12.66742
2005,C2,2,205,12.85555
2005,C2,3,201,12.60471
2005,C2,4,186,11.66406
2005,C3,1,225,14.10975
2005,C3,2,228,14.29788
2005,C3,3,228,14.29788
2005,C3,4,230,14.4233
2005,C4,1,223,13.98433
2005,C4,2,238,14.92498
2005,C4,3,202,12.66742
2005,C4,4,239,14.98769
2006,C2,1,199,12.47929
2006,C2,2,205,12.85555
2006,C2,3,214,13.41994
2006,C2,4,195,12.22845
2006,C3,1,209,13.10639
2006,C3,2,209,13.10639
2006,C3,3,210,13.1691
2006,C3,4,201,12.60471
2006,C4,1,216,13.54536
2006,C4,2,213,13.35723
2006,C4,3,222,13.92162
2006,C4,4,203,12.73013
2007,C2,1,179,11.22509
2007,C2,2,177,11.09967
2007,C2,3,187,11.72677
2007,C2,4,177,11.09967
2007,C3,1,200,12.542
2007,C3,2,193,12.10303
2007,C3,3,176,11.03696
2007,C3,4,185,11.60135
2007,C4,1,200,12.542
2007,C4,2,193,12.10303
2007,C4,3,193,12.10303
2007,C4,4,197,12.35387
2008,C2,1,199.3,12.498103
2008,C2,2,198.1,12.422851
2008,C2,3,176.3,11.055773
2008,C2,4,200.7,12.585897
2008,C3,1,217.6,13.645696
2008,C3,2,218.8,13.720948
2008,C3,3,196.6,12.328786
2008,C3,4,174.1,10.917811
2008,C4,1,218.3,13.689593
2008,C4,2,209.2,13.118932
2008,C4,3,191,11.97761
2008,C4,4,174.1,10.917811
2009,C2,1,204.7,12.836737
2009,C2,2,205.1,12.861821
2009,C2,3,200.5,12.573355
2009,C2,4,182.9,11.469659
2009,C3,1,187.4,11.751854
2009,C3,2,205.1,12.861821
2009,C3,3,207.5,13.012325
2009,C3,4,189.9,11.908629
2009,C4,1,206.2,12.930802
2009,C4,2,215.7,13.526547
2009,C4,3,198,12.41658
2009,C4,4,207.5,13.012325
2010,C2,1,186.4,11.689144
2010,C2,2,191,11.97761
2010,C2,3,172.1,10.792391
